"caller_class","caller_method","caller_qualified","callee_function","file_path","line_number"
"firebase::auth::Auth","UseEmulator","firebase::auth::Auth::UseEmulator","std::__1::to_string","auth/src/desktop/auth_desktop.cc",575
"firebase::auth::Auth","UseEmulator","firebase::auth::Auth::UseEmulator","std::__1::basic_string<char, char_traits<char>, allocator<char>>::~basic_string","auth/src/desktop/auth_desktop.cc",575
"firebase::auth::Auth","UseEmulator","firebase::auth::Auth::UseEmulator","std::__1::basic_string<char, char_traits<char>, allocator<char>>::operator=","auth/src/desktop/auth_desktop.cc",572
"firebase::auth::Auth","UseEmulator","firebase::auth::Auth::UseEmulator","std::__1::basic_string<char, char_traits<char>, allocator<char>>::append","auth/src/desktop/auth_desktop.cc",573
"firebase::auth::Auth","UseEmulator","firebase::auth::Auth::UseEmulator","std::__1::basic_string<char, char_traits<char>, allocator<char>>::append","auth/src/desktop/auth_desktop.cc",574
"firebase::auth::Auth","UseEmulator","firebase::auth::Auth::UseEmulator","std::__1::basic_string<char, char_traits<char>, allocator<char>>::append","auth/src/desktop/auth_desktop.cc",575
"firebase::auth::Auth","SignOut","firebase::auth::Auth::SignOut","firebase::auth::AuthenticationResult::SignOut","auth/src/desktop/auth_desktop.cc",506
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","std::__1::move","auth/src/desktop/auth_desktop.cc",401
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::AuthResult::AuthResult","auth/src/desktop/auth_desktop.cc",391
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::AuthResult::~AuthResult","auth/src/desktop/auth_desktop.cc",395
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::Promise<AuthResult>::Promise","auth/src/desktop/auth_desktop.cc",379
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::Promise<AuthResult>::Promise","auth/src/desktop/auth_desktop.cc",401
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::Promise<AuthResult>::LastResult","auth/src/desktop/auth_desktop.cc",394
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","std::__1::unique_ptr<SignUpNewUserRequest, default_delete<SignUpNewUserRequest>>::unique_ptr","auth/src/desktop/auth_desktop.cc",398
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","std::__1::unique_ptr<SignUpNewUserRequest, default_delete<SignUpNewUserRequest>>::unique_ptr","auth/src/desktop/auth_desktop.cc",401
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::SignUpNewUserRequest::SignUpNewUserRequest","auth/src/desktop/auth_desktop.cc",399
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::Promise<AuthResult>::~Promise","auth/src/desktop/auth_desktop.cc",401
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::Promise<AuthResult>::~Promise","auth/src/desktop/auth_desktop.cc",403
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","std::__1::unique_ptr<SignUpNewUserRequest, default_delete<SignUpNewUserRequest>>::~unique_ptr","auth/src/desktop/auth_desktop.cc",401
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","std::__1::unique_ptr<SignUpNewUserRequest, default_delete<SignUpNewUserRequest>>::~unique_ptr","auth/src/desktop/auth_desktop.cc",403
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::UserView::TryRead","auth/src/desktop/auth_desktop.cc",385
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::User::operator=","auth/src/desktop/auth_desktop.cc",392
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::Promise<AuthResult>::CompleteWithResult","auth/src/desktop/auth_desktop.cc",393
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::GetApiKey","auth/src/desktop/auth_desktop.cc",399
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","firebase::auth::CallAsync","auth/src/desktop/auth_desktop.cc",401
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","firebase::MutexLock::MutexLock","auth/src/desktop/auth_desktop.cc",538
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","firebase::MutexLock::~MutexLock","auth/src/desktop/auth_desktop.cc",543
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","firebase::ReferenceCountedFutureImpl::mutex","auth/src/desktop/auth_desktop.cc",538
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","firebase::auth::User::User","auth/src/desktop/auth_desktop.cc",525
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","firebase::auth::User::User","auth/src/desktop/auth_desktop.cc",540
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","firebase::auth::User::User","auth/src/desktop/auth_desktop.cc",542
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","firebase::auth::Auth::AddAuthStateListener","auth/src/desktop/auth_desktop.cc",529
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","firebase::auth::Auth::RemoveAuthStateListener","auth/src/desktop/auth_desktop.cc",535
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","firebase::auth::CurrentUserBlockListener::CurrentUserBlockListener","auth/src/desktop/auth_desktop.cc",528
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","firebase::auth::CurrentUserBlockListener::WaitForEvent","auth/src/desktop/auth_desktop.cc",534
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","firebase::auth::CurrentUserBlockListener::~CurrentUserBlockListener","auth/src/desktop/auth_desktop.cc",544
"firebase::auth::Auth","Auth","firebase::auth::Auth::Auth","std::__1::basic_string<char, char_traits<char>, allocator<char>>::~basic_string","auth/src/auth.cc",115
"firebase::auth::Auth","Auth","firebase::auth::Auth::Auth","std::__1::basic_string<char, char_traits<char>, allocator<char>>::operator=","auth/src/auth.cc",115
"firebase::auth::Auth","Auth","firebase::auth::Auth::Auth","firebase::CleanupNotifier::FindByOwner","auth/src/auth.cc",118
"firebase::auth::Auth","Auth","firebase::auth::Auth::Auth","firebase::CleanupNotifier::RegisterObject","auth/src/auth.cc",120
"firebase::auth::Auth","Auth","firebase::auth::Auth::Auth","firebase::LogAssert","auth/src/auth.cc",107
"firebase::auth::Auth","Auth","firebase::auth::Auth::Auth","firebase::CreateApiIdentifier","auth/src/auth.cc",115
"firebase::auth::Auth","Auth","firebase::auth::Auth::Auth","firebase::auth::Auth::InitPlatformAuth","auth/src/auth.cc",112
"firebase::auth::Auth","Auth","firebase::auth::Auth::Auth","firebase::auth::AuthData::AuthData","auth/src/auth.cc",106
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","std::__1::move","auth/src/desktop/auth_desktop.cc",501
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","std::__1::basic_string<char, char_traits<char>, allocator<char>>::c_str","auth/src/desktop/auth_desktop.cc",484
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","std::__1::basic_string<char, char_traits<char>, allocator<char>>::empty","auth/src/desktop/auth_desktop.cc",483
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","firebase::auth::ValidateEmail","auth/src/desktop/auth_desktop.cc",477
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","firebase::auth::Promise<void>::~Promise","auth/src/desktop/auth_desktop.cc",501
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","firebase::auth::Promise<void>::~Promise","auth/src/desktop/auth_desktop.cc",502
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","firebase::auth::Promise<void>::Promise","auth/src/desktop/auth_desktop.cc",475
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","firebase::auth::Promise<void>::Promise","auth/src/desktop/auth_desktop.cc",501
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","firebase::auth::Promise<void>::LastResult","auth/src/desktop/auth_desktop.cc",478
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","firebase::auth::GetOobConfirmationCodeRequest::CreateSendPasswordResetEmailRequest","auth/src/desktop/auth_desktop.cc",488
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","std::__1::unique_ptr<GetOobConfirmationCodeRequest, default_delete<GetOobConfirmationCodeRequest>>::unique_ptr","auth/src/desktop/auth_desktop.cc",501
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","std::__1::unique_ptr<GetOobConfirmationCodeRequest, default_delete<GetOobConfirmationCodeRequest>>::~unique_ptr","auth/src/desktop/auth_desktop.cc",501
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","std::__1::unique_ptr<GetOobConfirmationCodeRequest, default_delete<GetOobConfirmationCodeRequest>>::~unique_ptr","auth/src/desktop/auth_desktop.cc",502
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","firebase::auth::GetApiKey","auth/src/desktop/auth_desktop.cc",489
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","firebase::auth::CallAsync","auth/src/desktop/auth_desktop.cc",501
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","std::__1::move","auth/src/desktop/auth_desktop.cc",434
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","firebase::auth::Promise<AuthResult>::Promise","auth/src/desktop/auth_desktop.cc",423
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","firebase::auth::Promise<AuthResult>::Promise","auth/src/desktop/auth_desktop.cc",434
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","firebase::auth::Promise<AuthResult>::LastResult","auth/src/desktop/auth_desktop.cc",426
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","std::__1::unique_ptr<SignUpNewUserRequest, default_delete<SignUpNewUserRequest>>::unique_ptr","auth/src/desktop/auth_desktop.cc",430
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","std::__1::unique_ptr<SignUpNewUserRequest, default_delete<SignUpNewUserRequest>>::unique_ptr","auth/src/desktop/auth_desktop.cc",434
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","firebase::auth::SignUpNewUserRequest::SignUpNewUserRequest","auth/src/desktop/auth_desktop.cc",431
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","firebase::auth::Promise<AuthResult>::~Promise","auth/src/desktop/auth_desktop.cc",434
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","firebase::auth::Promise<AuthResult>::~Promise","auth/src/desktop/auth_desktop.cc",436
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","std::__1::unique_ptr<SignUpNewUserRequest, default_delete<SignUpNewUserRequest>>::~unique_ptr","auth/src/desktop/auth_desktop.cc",434
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","std::__1::unique_ptr<SignUpNewUserRequest, default_delete<SignUpNewUserRequest>>::~unique_ptr","auth/src/desktop/auth_desktop.cc",436
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","firebase::auth::GetApiKey","auth/src/desktop/auth_desktop.cc",431
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","firebase::auth::CallAsync","auth/src/desktop/auth_desktop.cc",434
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","firebase::auth::ValidateEmailAndPassword","auth/src/desktop/auth_desktop.cc",425
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","std::__1::move","auth/src/desktop/auth_desktop.cc",417
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","firebase::auth::Promise<AuthResult>::Promise","auth/src/desktop/auth_desktop.cc",407
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","firebase::auth::Promise<AuthResult>::Promise","auth/src/desktop/auth_desktop.cc",417
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","firebase::auth::Promise<AuthResult>::LastResult","auth/src/desktop/auth_desktop.cc",410
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","firebase::auth::Promise<AuthResult>::~Promise","auth/src/desktop/auth_desktop.cc",417
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","firebase::auth::Promise<AuthResult>::~Promise","auth/src/desktop/auth_desktop.cc",419
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","std::__1::unique_ptr<VerifyPasswordRequest, default_delete<VerifyPasswordRequest>>::unique_ptr","auth/src/desktop/auth_desktop.cc",414
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","std::__1::unique_ptr<VerifyPasswordRequest, default_delete<VerifyPasswordRequest>>::unique_ptr","auth/src/desktop/auth_desktop.cc",417
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","firebase::auth::VerifyPasswordRequest::VerifyPasswordRequest","auth/src/desktop/auth_desktop.cc",415
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","std::__1::unique_ptr<VerifyPasswordRequest, default_delete<VerifyPasswordRequest>>::~unique_ptr","auth/src/desktop/auth_desktop.cc",417
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","std::__1::unique_ptr<VerifyPasswordRequest, default_delete<VerifyPasswordRequest>>::~unique_ptr","auth/src/desktop/auth_desktop.cc",419
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","firebase::auth::GetApiKey","auth/src/desktop/auth_desktop.cc",415
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","firebase::auth::CallAsync","auth/src/desktop/auth_desktop.cc",417
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","firebase::auth::ValidateEmailAndPassword","auth/src/desktop/auth_desktop.cc",409
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","std::__1::basic_string<char, char_traits<char>, allocator<char>>::~basic_string","auth/src/desktop/auth_desktop.cc",358
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","std::__1::basic_string<char, char_traits<char>, allocator<char>>::~basic_string","auth/src/desktop/auth_desktop.cc",362
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","firebase::auth::Credential::provider","auth/src/desktop/auth_desktop.cc",358
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","firebase::auth::Credential::provider","auth/src/desktop/auth_desktop.cc",362
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","firebase::auth::Promise<User>::Promise","auth/src/desktop/auth_desktop.cc",357
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","firebase::auth::Promise<User>::Promise","auth/src/desktop/auth_desktop.cc",362
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","firebase::auth::Promise<User>::LastResult","auth/src/desktop/auth_desktop.cc",359
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","firebase::auth::Promise<User>::~Promise","auth/src/desktop/auth_desktop.cc",362
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","firebase::auth::Promise<User>::~Promise","auth/src/desktop/auth_desktop.cc",364
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","firebase::auth::(unnamed namespace)::DoSignInWithCredential","auth/src/desktop/auth_desktop.cc",362
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","firebase::auth::ValidateCredential","auth/src/desktop/auth_desktop.cc",358
"firebase::auth::Auth","SignInWithCustomToken","firebase::auth::Auth::SignInWithCustomToken","std::__1::move","auth/src/desktop/auth_desktop.cc",352
"firebase::auth::Auth","SignInWithCustomToken","firebase::auth::Auth::SignInWithCustomToken","firebase::auth::FailPromise","auth/src/desktop/auth_desktop.cc",342
"firebase::auth::Auth","SignInWithCustomToken","firebase::auth::Auth::SignInWithCustomToken","firebase::auth::Promise<AuthResult>::Promise","auth/src/desktop/auth_desktop.cc",339
"firebase::auth::Auth","SignInWithCustomToken","firebase::auth::Auth::SignInWithCustomToken","firebase::auth::Promise<AuthResult>::Promise","auth/src/desktop/auth_desktop.cc",352
"firebase::auth::Auth","SignInWithCustomToken","firebase::auth::Auth::SignInWithCustomToken","firebase::auth::Promise<AuthResult>::LastResult","auth/src/desktop/auth_desktop.cc",343
"firebase::auth::Auth","SignInWithCustomToken","firebase::auth::Auth::SignInWithCustomToken","firebase::auth::Promise<AuthResult>::~Promise","auth/src/desktop/auth_desktop.cc",352
"firebase::auth::Auth","SignInWithCustomToken","firebase::auth::Auth::SignInWithCustomToken","firebase::auth::Promise<AuthResult>::~Promise","auth/src/desktop/auth_desktop.cc",354
"firebase::auth::Auth","SignInWithCustomToken","firebase::auth::Auth::SignInWithCustomToken","std::__1::unique_ptr<VerifyCustomTokenRequest, default_delete<VerifyCustomTokenRequest>>::unique_ptr","auth/src/desktop/auth_desktop.cc",349
